TEMPO;LOAD;FIO2;FEO2;FECO2;FETO2;FETCO2;VE;TI;TE;HR;VO2
4.0;0;20.85;14.9632052330335;4.6852003270646;13.71;5.6;13.3920503754589;1.9;3.69;53;627.490214177367
9.0;0;20.78;14.9787234042553;4.66382978723404;13.69;5.62;13.4386049397338;1.812;3.54;53;618.430453148132
14.0;0;20.77;14.9740034662045;4.66204506065858;13.67;5.64;13.4574154894952;1.769;3.48;53;617.722040697338
24.0;0;20.75;14.9505840071878;4.68104222821204;13.64;5.68;12.4708595742325;2.159;3.304;53;571.241895614008
28.0;0;20.78;14.9236298292902;4.6900269541779;13.65;5.67;11.8876820544464;2.503;3.228;54;550.359757747941
35.0;0;20.81;14.8722627737226;4.71715328467153;13.64;5.68;11.0578064586095;3.054;3.013;54;519.202852285006
39.0;0;20.84;14.8638838475499;4.71869328493648;13.65;5.67;11.2368782741219;3.157;2.846;54;531.642020358802
43.0;0;20.87;14.8858447488584;4.73059360730594;13.68;5.66;11.1859980588321;3.359;2.633;55;528.941376294262
47.0;0;20.9;14.9864743011722;4.67087466185753;13.76;5.63;12.2312540883938;2.976;2.574;56;571.523517589143
52.0;0;20.9;15.0766456266907;4.65284039675383;13.81;5.63;13.3366326504097;2.575;2.515;56;611.77532404363
55.0;0;20.89;15.1924798567592;4.61056401074306;13.89;5.63;15.2007895770295;1.962;2.536;57;680.222112145395
61.0;0;20.88;15.3030303030303;4.58110516934046;14;5.62;15.5876551513362;1.76;2.646;57;680.860132082602
66.0;0;20.88;15.4545454545455;4.5;14.15;5.57;15.5179897321573;1.556;2.783;57;657.013299576223
70.0;0;20.87;15.5045045045045;4.5045045045045;14.24;5.56;15.092108308851;1.558;2.944;56;630.820585627051
79.0;0;20.88;15.5251141552511;4.5296803652968;14.3;5.56;13.831304244433;1.913;2.933;56;575.627098746874
83.0;0;20.88;15.5405405405405;4.56756756756757;14.35;5.57;12.9814045866349;2.264;2.97;55;538.077916347244
87.0;0;20.87;15.5731593662628;4.57595526561044;14.4;5.56;12.0823858019804;2.58;2.856;55;494.364461491256
92.0;0;20.86;15.5678670360111;4.58910433979686;14.43;5.56;12.4165505484514;2.517;2.822;55;507.985193259642
96.0;0;20.84;15.617342130066;4.57115928369463;14.48;5.55;12.508727316877;2.488;2.704;56;502.972503493681
100.0;0;20.83;15.7115928369463;4.50518378887842;14.59;5.5;13.311193324293;2.142;2.737;55;524.089629271325
115.0;0;20.83;15.9841827768014;4.38488576449912;14.79;5.4;13.2961617199034;1.883;3.356;55;493.950725615476
125.0;0;20.85;16.1798616448886;4.38893159108378;14.89;5.37;13.2926142607286;1.667;4.324;54;475.013876124249
133.0;0;20.87;16.3842975206612;4.42148760330578;14.91;5.39;12.0792302026551;1.986;5.372;54;411.33433517795
139.0;0;20.88;16.4524765729585;4.47121820615797;14.8;5.48;11.3040612234025;2.258;5.832;53;377.268985822692
144.0;0;20.89;16.4989802855201;4.49354180829368;14.67;5.55;10.5583950202284;2.514;6.014;53;346.806901416627
150.0;0;20.89;16.3328424153166;4.57290132547865;14.43;5.65;10.2572930330873;2.575;5.529;53;349.536607632647
156.0;0;20.89;16.0761589403973;4.63576158940397;14.23;5.74;10.0712871643817;2.59;4.752;54;363.743572429614
160.0;0;20.87;15.6831119544592;4.69639468690702;14.09;5.78;10.4446871164309;2.417;3.76;54;410.448173101327
165.0;0;20.85;15.4601861427094;4.68459152016546;14.07;5.76;10.6670461593493;2.31;3.239;54;438.280111606049
169.0;0;20.83;15.2476290832455;4.76290832455216;14.03;5.77;11.2250499812018;2.218;2.957;54;480.834174119691
174.0;0;20.81;15.1764705882353;4.79144385026738;14.01;5.77;11.4168509536517;2.243;2.77;54;494.086933925379
176.0;0;20.78;15.1552106430155;4.78935698447894;14.02;5.74;11.8431353726343;2.152;2.51;54;510.802632813642
181.0;50;20.77;15.1689189189189;4.75225225225225;14.04;5.71;12.3116052741014;2.044;2.371;54;528.41754308155
188.0;50;20.77;15.1061571125265;4.81953290870488;14.05;5.69;13.2008135855512;2.1;2.268;54;576.374199213789
193.0;50;20.79;15.0415512465374;4.91228070175439;14.05;5.69;14.5249700653335;2.28;2.284;55;650.86458630508
197.0;50;20.8;14.9283439490446;5;14.02;5.71;16.4241696907178;2.456;2.225;59;761.00591330722
201.0;50;20.81;14.8652384243262;5.0449205252246;13.96;5.75;18.4912147707365;2.527;2.263;65;875.182613509952
206.0;50;20.82;14.8082775410834;5.07608034083993;13.88;5.78;20.6425197579462;2.577;2.295;72;995.541999125431
210.0;50;20.82;14.780376497433;5.05989731888192;13.77;5.79;22.2437006644894;2.435;2.389;79;1082.3254935185
215.0;50;20.81;14.7389107243122;5.01403705783268;13.64;5.79;23.6377995771083;2.17;2.442;85;1160.44148463661
219.0;50;20.8;14.6571428571429;4.97142857142857;13.45;5.79;24.2902443895492;1.888;2.522;88;1210.01785062408
224.0;50;20.8;14.4780376497433;4.99144324015973;13.22;5.82;24.4093748875107;1.822;2.574;88;1257.70537982297
228.0;50;20.78;14.2378752886836;5.05773672055427;12.94;5.89;24.122451028988;1.824;2.571;88;1291.26825456381
232.0;50;20.75;14.0022740193292;5.12791358726549;12.7;5.95;24.6386454234936;1.82;2.55;86;1366.43693025931
237.0;50;20.71;13.8027366020525;5.21094640820981;12.52;6.02;24.4678266684956;1.94;2.448;85;1391.92060741181
243.0;50;20.69;13.595199127114;5.31369339879978;12.35;6.1;24.681153821916;2.074;2.472;84;1447.7760309452
254.0;50;20.69;13.5089463220676;5.38767395626243;12.22;6.18;23.9979284321255;2.394;2.738;82;1430.01383987049
261.0;50;20.71;13.5161009573542;5.41340295909487;12.13;6.24;24.2440251034305;2.644;3.158;81;1452.50259361336
265.0;50;20.73;13.6046966731898;5.40900195694716;12.15;6.26;24.2548336734727;2.929;3.519;79;1441.09706629143
271.0;50;20.76;13.6707938820102;5.39694100509833;12.19;6.26;25.2875805560598;2.892;3.755;78;1496.22404673207
275.0;50;20.77;13.7953321364452;5.35368043087971;12.34;6.21;25.9710227261935;2.788;3.776;77;1510.20435445854
279.0;50;20.76;13.9177570093458;5.30841121495327;12.54;6.13;27.2809959063564;2.458;3.544;77;1550.9230991855
284.0;50;20.76;14.0411246328158;5.26647083508183;12.77;6.06;27.3107665228132;2.301;3.04;77;1515.97388750121
289.0;50;20.77;14.1136051305543;5.26339899221255;12.93;6.02;27.7459553210159;2.196;2.62;77;1518.48936463279
293.0;50;20.8;14.2056977305649;5.26798647996137;13.08;6;27.3739672315928;2.265;2.366;77;1478.67447374704
297.0;50;20.81;14.2570473005256;5.28905876731964;13.16;6;27.8997154613377;2.292;2.3;78;1494.66459146527
303.0;100;20.83;14.2533267619517;5.32774765894529;13.17;6.04;26.8188215900057;2.445;2.186;80;1439.34011717857
307.0;100;20.84;14.2428711897738;5.35398230088496;13.13;6.08;26.7635468320345;2.485;2.167;81;1439.69571863015
310.0;100;20.84;14.2496210207175;5.33602829711976;13.1;6.12;26.7293450993454;2.428;2.104;81;1434.68236001382
314.0;100;20.84;14.3366834170854;5.2713567839196;13.14;6.11;28.1643277606269;2.207;2.118;82;1491.27076261956
